"ID","type","name","address","city","state","zip","lon","lat","score","locName","status","matchAddr","side","addressType","elevation","elev_units"
1,"Campuses","UC Berkeley","140 University Hall","Berkeley","CA",94720,-122.2658961,37.87165008,100,"World","M","140 University Hall, Berkeley, California, 94704","R","StreetAddress",63.93,"meters"
2,"Campuses","UC Davis","1 Shields Ave","Davis","CA",95616,-121.7480838,38.5406933,100,"World","M","1 Shields Ave, Davis, California, 95616","L","StreetAddress",16.21,"meters"
3,"Campuses","UC Merced","5200 N. Lake Road","Merced","CA",95343,-120.4322364,37.36328517,100,"World","T","5200 N Lake Rd, Merced, California, 95340","L","PointAddress",71.88,"meters"
4,"Campuses","UC Riverside","900 University Ave","Riverside","CA",92521,-117.3325595,33.97561956,100,"World","T","900 University Ave, Riverside, California, 92507","R","PointAddress",315.18,"meters"
5,"Campuses","UC Santa Barbara","552 University Rd","Santa Barbara","CA",93106,-119.8486969,34.4149098,87.44,"World","M","552 University Rd, Santa Barbara CA 93106","L","StreetAddress",15.27,"meters"
6,"Campuses","UC Santa Cruz","1156 High Street","Santa Cruz","CA",95064,-122.052224,36.97712149,100,"World","M","1156 High St, Santa Cruz, California, 95064","L","PointAddress",90.22,"meters"
7,"REC","Desert REC","1004 East Holton Road","HoltVille","CA",92250,-115.4391275,32.80390942,99,"World","M","1004 E Holton Rd, Holtville, California, 92250","L","StreetAddressExt",-15.7,"meters"
8,"REC","Hansen REC","14292 W Telegraph Rd","Santa Paula","CA",93060,-119.1071696,34.32716723,100,"World","M","14292 W Telegraph Rd, Santa Paula, California, 93060","R","PointAddress",72.05,"meters"
9,"REC","Hopland REC","4070 University Road","Hopland","CA",95449,-123.0836557,39.00112257,100,"World","M","4070 University Rd, Hopland, California, 95449","L","StreetAddress",259.81,"meters"
10,"REC","Intermountain REC","2816 Havlina Road","Tule Lake","CA",96134,-121.4742478,41.95900752,100,"World","M","2816 Havlina Rd, Tulelake, California, 96134","R","PointAddress",1230.45,"meters"
11,"REC","Kearney REC","9240 South Riverbend Avenue","Parlier","CA",93648,-119.5113882,36.60104952,100,"World","M","9240 S Riverbend Ave, Parlier, California, 93648","R","StreetAddress",103.69,"meters"
12,"REC","Lindcove REC","22963 Carson Avenue","Exeter","CA",93221,-119.0622709,36.36070067,100,"World","M","22963 Carson Ave, Exeter, California, 93221","L","StreetAddress",140.25,"meters"
13,"REC","Sierra Foothills REC","8279 Scott Forbes Road","Browns Valley","CA",95918,-121.3109927,39.24925754,100,"World","M","8279 Scott Forbes Rd, Browns Valley, California, 95918","L","StreetAddress",202.68,"meters"
14,"REC","South Coast REC","7601 Irvine Boulevard","Irvine","CA",92618,-117.7223639,33.68764148,100,"World","M","7601 Irvine Blvd, Irvine, California, 92618","R","StreetAddress",123.07,"meters"
15,"REC","Westside REC","17353 W Oakland Ave","Five Points","CA",93624,-120.1090574,36.34248748,100,"World","M","17353 W Oakland Ave, Five Points, California, 93624","R","StreetAddress",85.82,"meters"
